lineup_type,lambda,selfish_agent,game_idx,seed,turn_order,agent,expected_production,final_vp,total_resources_in_hand,prod_gini_game
CONVEX,0.0,GREEDY,54,55,1,R,0.75,3,24,0.148148
CONVEX,0.0,GREEDY,54,55,2,GREEDY,0.361111,10,2,0.148148
CONVEX,0.0,GREEDY,55,56,0,CONVEX,0.611111,5,8,0.114943
CONVEX,0.0,GREEDY,55,56,1,R,0.638889,4,8,0.114943
CONVEX,0.0,GREEDY,55,56,2,GREEDY,0.361111,10,4,0.114943
CONVEX,0.0,GREEDY,56,57,0,CONVEX,0.527778,2,8,0.067797
CONVEX,0.0,GREEDY,56,57,1,R,0.472222,10,3,0.067797
CONVEX,0.0,GREEDY,56,57,2,GREEDY,0.638889,7,25,0.067797
CONVEX,0.0,GREEDY,57,58,0,CONVEX,0.666667,4,15,0.283688
CONVEX,0.0,GREEDY,57,58,1,R,0.527778,2,13,0.283688
CONVEX,0.0,GREEDY,57,58,2,GREEDY,0.111111,11,1,0.283688
CONVEX,0.0,GREEDY,58,59,0,CONVEX,0.638889,2,7,0.116959
CONVEX,0.0,GREEDY,58,59,1,R,0.583333,10,6,0.116959
CONVEX,0.0,GREEDY,58,59,2,GREEDY,0.361111,7,9,0.116959
CONVEX,0.0,GREEDY,59,60,0,CONVEX,0.194444,2,3,0.230303
CONVEX,0.0,GREEDY,59,60,1,R,0.722222,10,12,0.230303
CONVEX,0.0,GREEDY,59,60,2,GREEDY,0.611111,6,30,0.230303
CONVEX,0.0,GREEDY,60,61,0,CONVEX,0.333333,4,5,0.128655
CONVEX,0.0,GREEDY,60,61,1,R,0.611111,2,9,0.128655
CONVEX,0.0,GREEDY,60,61,2,GREEDY,0.638889,10,23,0.128655
CONVEX,0.0,GREEDY,61,62,0,CONVEX,0.638889,4,6,0.142857
CONVEX,0.0,GREEDY,61,62,1,R,0.611111,2,7,0.142857
CONVEX,0.0,GREEDY,61,62,2,GREEDY,0.305556,10,2,0.142857
CONVEX,0.0,GREEDY,62,63,0,CONVEX,0.388889,10,4,0.120219
CONVEX,0.0,GREEDY,62,63,1,R,0.694444,6,19,0.120219
CONVEX,0.0,GREEDY,62,63,2,GREEDY,0.611111,4,10,0.120219
CONVEX,0.0,GREEDY,63,64,0,CONVEX,0.388889,2,9,0.101695
CONVEX,0.0,GREEDY,63,64,1,R,0.611111,2,11,0.101695
CONVEX,0.0,GREEDY,63,64,2,GREEDY,0.638889,10,34,0.101695
CONVEX,0.0,GREEDY,64,65,0,CONVEX,0.5,11,2,0.069652
CONVEX,0.0,GREEDY,64,65,1,R,0.694444,6,6,0.069652
CONVEX,0.0,GREEDY,64,65,2,GREEDY,0.666667,4,11,0.069652
CONVEX,0.0,GREEDY,65,66,0,CONVEX,0.638889,2,9,0.072917
CONVEX,0.0,GREEDY,65,66,1,R,0.472222,10,2,0.072917
CONVEX,0.0,GREEDY,65,66,2,GREEDY,0.666667,6,12,0.072917
CONVEX,0.0,GREEDY,66,67,0,CONVEX,0.638889,9,30,0.072917
CONVEX,0.0,GREEDY,66,67,1,R,0.666667,4,21,0.072917
CONVEX,0.0,GREEDY,66,67,2,GREEDY,0.472222,10,4,0.072917
CONVEX,0.0,GREEDY,67,68,0,CONVEX,0.694444,2,7,0.234568
CONVEX,0.0,GREEDY,67,68,1,R,0.166667,10,3,0.234568
CONVEX,0.0,GREEDY,67,68,2,GREEDY,0.638889,6,7,0.234568
CONVEX,0.0,GREEDY,68,69,0,CONVEX,0.666667,10,23,0.175439
CONVEX,0.0,GREEDY,68,69,1,R,0.666667,4,24,0.175439
CONVEX,0.0,GREEDY,68,69,2,GREEDY,0.25,4,5,0.175439
CONVEX,0.0,GREEDY,69,70,0,CONVEX,0.638889,2,11,0.158192
CONVEX,0.0,GREEDY,69,70,1,R,0.305556,8,4,0.158192
CONVEX,0.0,GREEDY,69,70,2,GREEDY,0.694444,10,11,0.158192
CONVEX,0.0,GREEDY,70,71,0,CONVEX,0.277778,10,6,0.195402
