lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,AB,1,2,0.049751,0.555556,0.694444,0.138889,R,80
CONVEX,0.0,AB,2,3,0.217949,0.194444,0.666667,0.472222,R,92
CONVEX,0.0,AB,3,4,0.083333,0.444444,0.638889,0.194444,AB,99
CONVEX,0.0,AB,4,5,0.112821,0.416667,0.722222,0.305556,CONVEX,61
CONVEX,0.0,AB,5,6,0.090395,0.416667,0.638889,0.222222,CONVEX,124
CONVEX,0.0,AB,6,7,0.105263,0.388889,0.638889,0.25,AB,93
CONVEX,0.0,AB,7,8,0.190476,0.194444,0.583333,0.388889,AB,57
CONVEX,0.0,AB,8,9,0.133333,0.277778,0.555556,0.277778,R,92
CONVEX,0.0,AB,9,10,0.178571,0.25,0.666667,0.416667,CONVEX,82
CONVEX,0.0,AB,10,11,0.205128,0.194444,0.638889,0.444444,R,74
CONVEX,0.0,AB,11,12,0.205128,0.194444,0.638889,0.444444,R,62
CONVEX,0.0,AB,12,13,0.152047,0.305556,0.666667,0.361111,R,95
CONVEX,0.0,AB,13,14,0.24359,0.138889,0.666667,0.527778,R,56
CONVEX,0.0,AB,14,15,0.135802,0.305556,0.611111,0.305556,R,77
CONVEX,0.0,AB,15,16,0.157576,0.277778,0.638889,0.361111,R,89
CONVEX,0.0,AB,16,17,0.181818,0.25,0.666667,0.416667,CONVEX,73
CONVEX,0.0,AB,17,18,0.065574,0.472222,0.638889,0.166667,R,53
CONVEX,0.0,AB,18,19,0.128655,0.333333,0.638889,0.305556,CONVEX,79
CONVEX,0.0,AB,19,20,0.17284,0.25,0.638889,0.388889,CONVEX,46
CONVEX,0.0,AB,20,21,0.068627,0.5,0.694444,0.194444,AB,63
CONVEX,0.0,AB,21,22,0.095238,0.388889,0.611111,0.222222,R,62
CONVEX,0.0,AB,22,23,0.043011,0.527778,0.638889,0.111111,AB,57
CONVEX,0.0,AB,23,24,0.169492,0.277778,0.694444,0.416667,CONVEX,43
CONVEX,0.0,AB,24,25,0.213836,0.194444,0.666667,0.472222,AB,60
CONVEX,0.0,AB,25,26,0.126437,0.361111,0.666667,0.305556,CONVEX,97
CONVEX,0.0,AB,26,27,0.160494,0.277778,0.638889,0.361111,CONVEX,76
CONVEX,0.0,AB,27,28,0.020202,0.583333,0.638889,0.055556,R,107
CONVEX,0.0,AB,28,29,0.115385,0.333333,0.583333,0.25,CONVEX,91
CONVEX,0.0,AB,29,30,0.064516,0.472222,0.638889,0.166667,CONVEX,70
CONVEX,0.0,AB,30,31,0.107527,0.416667,0.694444,0.277778,AB,63
CONVEX,0.0,AB,31,32,0.163743,0.305556,0.694444,0.388889,R,137
CONVEX,0.0,AB,32,33,0.148148,0.277778,0.611111,0.333333,CONVEX,97
CONVEX,0.0,AB,33,34,0.088889,0.444444,0.666667,0.222222,CONVEX,88
CONVEX,0.0,AB,34,35,0.055556,0.472222,0.611111,0.138889,CONVEX,58
CONVEX,0.0,AB,35,36,0.111111,0.361111,0.611111,0.25,AB,108
CONVEX,0.0,AB,36,37,0.172414,0.305556,0.722222,0.416667,CONVEX,64
CONVEX,0.0,AB,37,38,0.300654,0.055556,0.694444,0.638889,CONVEX,91
CONVEX,0.0,AB,38,39,0.157576,0.277778,0.638889,0.361111,AB,90
CONVEX,0.0,AB,39,40,0.153846,0.305556,0.638889,0.333333,AB,66
CONVEX,0.0,AB,40,41,0.093567,0.388889,0.611111,0.222222,R,74
CONVEX,0.0,AB,41,42,0.133333,0.305556,0.611111,0.305556,CONVEX,100
CONVEX,0.0,AB,42,43,0.271605,0.111111,0.722222,0.611111,AB,99
CONVEX,0.0,AB,43,44,0.126984,0.416667,0.75,0.333333,AB,81
CONVEX,0.0,AB,44,45,0.173333,0.222222,0.583333,0.361111,R,98
CONVEX,0.0,AB,45,46,0.0,0.583333,0.583333,0.0,AB,60
CONVEX,0.0,AB,46,47,0.20915,0.194444,0.638889,0.444444,AB,75
CONVEX,0.0,AB,47,48,0.137931,0.333333,0.666667,0.333333,CONVEX,85
