method,lambda,n,gini_mean,gini_ci_low,gini_ci_high,max_min_ratio_mean,max_min_ratio_ci_low,max_min_ratio_ci_high,total_expected_production_mean,total_expected_production_ci_low,total_expected_production_ci_high,mean_entropy_mean,mean_entropy_ci_low,mean_entropy_ci_high
LP,0.4444444444444444,20,1.093813078710471e-10,8.93995007492301e-11,1.3066581200593353e-10,1.0000000004922158,1.0000000004025849,1.0000000005927412,1.839901585879669,1.7995594352625726,1.8850800358124673,1.5479743953370106,1.5264653442136458,1.5650988212960821
LP,0.6666666666666666,20,1.1729546657533447e-10,9.163060698610857e-11,1.4563297125884064e-10,1.0000000005278298,1.0000000004139644,1.0000000006621947,1.8293006237868752,1.7894214808082134,1.8729394869256075,1.5627034530024724,1.5483906050061726,1.5744807935709286
LP,0.8888888888888888,20,1.219437547190165e-10,9.660818916840376e-11,1.497068809158134e-10,1.000000000548747,1.0000000004364915,1.0000000006726326,1.8192636556224446,1.7815485544954164,1.8614927005440294,1.5719707499800264,1.5596779411939736,1.5823512290443043
LP,1.1111111111111112,20,1.1383421269950625e-10,8.412446917390169e-11,1.466047131604318e-10,1.0000000005122538,1.000000000381029,1.0000000006665206,1.8086782190702908,1.7689073271711828,1.849782486193144,1.5800941054040618,1.5717308629916658,1.5877230792943113
LP,1.3333333333333333,20,8.722968100482839e-11,5.582770476331041e-11,1.2434799517438304e-10,1.0000000003925336,1.0000000002574876,1.0000000005588356,1.8013634551338338,1.7637279413191236,1.839599982011186,1.584610724110093,1.577067168019704,1.5907421135732793
LP,1.5555555555555554,20,1.0241146658516464e-10,7.687431661536451e-11,1.35927256249633e-10,1.0000000004608516,1.000000000340712,1.0000000006058611,1.7947988823622019,1.7569100953069152,1.8332269606183487,1.5880501546554577,1.5813817644751584,1.5931456982440542
LP,1.7777777777777777,20,9.992806948219521e-11,8.142760116291044e-11,1.1904064520571412e-10,1.0000000004496763,1.000000000362718,1.0000000005365204,1.7889858009282538,1.7505862911996621,1.8290696285206582,1.5907051093669429,1.5855254919259816,1.595378311518221
LP,2.0,20,1.193531150591681e-10,9.005779487822933e-11,1.4962747905343623e-10,1.000000000537089,1.000000000407244,1.0000000006663354,1.7831152602105405,1.7458402364390917,1.8222405690682972,1.5930872652515522,1.5889145247818464,1.5970082933857863
RANDOM,0.0,20,0.17034987338886812,0.13559541324455832,0.20810074500007966,2.5054256854256853,1.9590111832611832,3.1721564754689746,1.0541666666666667,0.9624999999999998,1.1458333333333333,0.9123723754329319,0.8503125904159096,0.974042500290769
RANDOM,0.2222222222222222,20,0.17034987338886812,0.13547207379082632,0.20835494153706535,2.5054256854256853,2.001801406926407,3.1571699134199136,1.0541666666666667,0.9625,1.1458333333333333,0.9123723754329319,0.8492337295595556,0.9731423975319506
RANDOM,0.4444444444444444,20,0.17034987338886812,0.13619558040419463,0.2084536579063589,2.5054256854256853,1.9751911075036075,3.15232205988456,1.0541666666666667,0.9652430555555552,1.1458680555555554,0.9123723754329319,0.8492843528462155,0.9761878876629122
RANDOM,0.6666666666666666,20,0.17034987338886812,0.13566738670971773,0.20756366298100118,2.5054256854256853,1.9712442279942277,3.119950306637806,1.0541666666666667,0.9680208333333331,1.1444444444444444,0.9123723754329319,0.8477810846538437,0.9761592633704004
