seed,method,lambda,node_id,capacity_dual
1,LP,1.5555555555555554,2,0.0
1,LP,1.5555555555555554,3,0.0
1,LP,1.5555555555555554,4,0.0
1,LP,1.5555555555555554,5,0.0
1,LP,1.5555555555555554,6,0.0
1,LP,1.5555555555555554,7,0.0
1,LP,1.5555555555555554,8,0.00588917130778295
1,LP,1.5555555555555554,9,0.0
1,LP,1.5555555555555554,10,0.0035188708120980658
1,LP,1.5555555555555554,11,0.0
1,LP,1.5555555555555554,12,0.0
1,LP,1.5555555555555554,13,0.0
1,LP,1.5555555555555554,14,0.0
1,LP,1.5555555555555554,15,0.0
1,LP,1.5555555555555554,16,0.0009148467309737402
1,LP,1.5555555555555554,17,0.0
1,LP,1.5555555555555554,18,0.0
1,LP,1.5555555555555554,19,0.0
1,LP,1.5555555555555554,20,0.0008339080520979202
1,LP,1.5555555555555554,21,0.0
1,LP,1.5555555555555554,22,0.0
1,LP,1.5555555555555554,23,0.0
1,LP,1.5555555555555554,24,0.0
1,LP,1.5555555555555554,25,0.0
1,LP,1.5555555555555554,26,0.0
1,LP,1.5555555555555554,27,0.0
1,LP,1.5555555555555554,28,0.0
1,LP,1.5555555555555554,29,0.0
1,LP,1.5555555555555554,30,0.0
1,LP,1.5555555555555554,31,0.0
1,LP,1.5555555555555554,32,0.0
1,LP,1.5555555555555554,33,0.0
1,LP,1.5555555555555554,34,0.0
1,LP,1.5555555555555554,35,0.0
1,LP,1.5555555555555554,36,0.0
1,LP,1.5555555555555554,37,0.0
1,LP,1.5555555555555554,38,0.0
1,LP,1.5555555555555554,39,0.0
1,LP,1.5555555555555554,40,0.0
1,LP,1.5555555555555554,41,0.0
1,LP,1.5555555555555554,42,0.0
1,LP,1.5555555555555554,43,0.0
1,LP,1.5555555555555554,44,0.0
1,LP,1.5555555555555554,45,0.0
1,LP,1.5555555555555554,46,0.0
1,LP,1.5555555555555554,47,0.0
1,LP,1.5555555555555554,48,0.0
1,LP,1.5555555555555554,49,0.0
1,LP,1.5555555555555554,50,0.0
1,LP,1.5555555555555554,51,0.0
1,LP,1.5555555555555554,52,0.0
1,LP,1.5555555555555554,53,0.0
1,LP,1.7777777777777777,0,0.0
1,LP,1.7777777777777777,1,0.0007705479631485477
1,LP,1.7777777777777777,2,0.0
1,LP,1.7777777777777777,3,0.0
1,LP,1.7777777777777777,4,0.0
1,LP,1.7777777777777777,5,0.0
1,LP,1.7777777777777777,6,0.0
1,LP,1.7777777777777777,7,0.0
1,LP,1.7777777777777777,8,0.006559415417528852
1,LP,1.7777777777777777,9,0.0
1,LP,1.7777777777777777,10,0.0026627541833752722
1,LP,1.7777777777777777,11,0.0
1,LP,1.7777777777777777,12,0.0
1,LP,1.7777777777777777,13,0.0
1,LP,1.7777777777777777,14,0.0
1,LP,1.7777777777777777,15,0.0
1,LP,1.7777777777777777,16,0.0009037954422853253
1,LP,1.7777777777777777,17,0.0
1,LP,1.7777777777777777,18,0.0
1,LP,1.7777777777777777,19,0.0
1,LP,1.7777777777777777,20,0.0008064244612534523
1,LP,1.7777777777777777,21,0.0
