lineup_id,lineup,game_in_lineup,global_game_id,seed,has_winner,winner_color,winner_agent,num_turns,game_duration_s,vp_std,vp_min,vp_max,vp_range,vp_gini,prod_gini_final,prod_max_min_ratio,turns_until_equalized
2,"MCTS,R,R",42,143,43,1,RED,MCTS,223,4.066202,3.771236,2,10,8,0.380952,0.333333,7.0,-1
2,"MCTS,R,R",43,144,44,1,BLUE,R,259,4.689288,3.399346,2,10,8,0.333333,0.369565,5.636364,-1
2,"MCTS,R,R",44,145,45,1,RED,MCTS,102,3.744148,3.559026,2,10,8,0.355556,0.323232,4.2,-1
2,"MCTS,R,R",45,146,46,1,RED,MCTS,361,6.982326,2.867442,3,10,7,0.245614,0.288889,3.6,-1
2,"MCTS,R,R",46,147,47,1,ORANGE,R,180,3.830742,3.559026,2,10,8,0.355556,0.325397,3.928571,-1
2,"MCTS,R,R",47,148,48,1,ORANGE,R,424,6.927668,3.559026,2,10,8,0.253968,0.386364,7.375,-1
2,"MCTS,R,R",48,149,49,1,RED,MCTS,694,13.568066,2.867442,3,10,7,0.233333,0.361111,4.545455,-1
2,"MCTS,R,R",49,150,50,1,BLUE,R,550,12.55575,1.247219,7,10,3,0.076923,0.278912,3.928571,-1
3,"AB,R,R",0,151,1,1,RED,AB,76,1.067404,3.299832,3,10,7,0.291667,0.460606,8.6,-1
3,"AB,R,R",1,152,2,1,RED,AB,79,1.323821,3.771236,2,10,8,0.380952,0.501425,13.571429,-1
3,"AB,R,R",2,153,3,1,RED,AB,67,0.892488,3.559026,2,10,8,0.355556,0.463768,9.888889,-1
3,"AB,R,R",3,154,4,1,RED,AB,112,0.987771,3.771236,2,10,8,0.380952,0.430556,7.888889,-1
3,"AB,R,R",4,155,5,1,RED,AB,72,1.212755,4.242641,2,11,9,0.4,0.487395,22.75,-1
3,"AB,R,R",5,156,6,1,RED,AB,71,1.030175,3.399346,2,10,8,0.333333,0.47352,11.857143,-1
3,"AB,R,R",6,157,7,1,RED,AB,101,1.629899,3.399346,2,10,8,0.333333,0.352304,6.416667,-1
3,"AB,R,R",7,158,8,1,RED,AB,100,1.165895,3.771236,2,10,8,0.380952,0.591065,29.666667,-1
3,"AB,R,R",8,159,9,1,RED,AB,84,1.168985,3.559026,2,10,8,0.355556,0.381818,6.727273,-1
3,"AB,R,R",9,160,10,1,RED,AB,50,0.767829,3.771236,2,10,8,0.380952,0.451977,7.666667,-1
3,"AB,R,R",10,161,11,1,RED,AB,93,1.204141,3.559026,2,10,8,0.355556,0.469136,8.6,-1
3,"AB,R,R",11,162,12,1,RED,AB,69,0.27129,3.559026,2,10,8,0.355556,0.454023,16.8,-1
3,"AB,R,R",12,163,13,1,RED,AB,69,0.870793,3.299832,2,10,8,0.313725,0.393939,10.75,-1
3,"AB,R,R",13,164,14,1,RED,AB,85,0.95008,3.771236,2,10,8,0.380952,0.519231,12.571429,-1
3,"AB,R,R",14,165,15,1,RED,AB,142,1.444884,3.399346,2,10,8,0.333333,0.322581,4.157895,-1
3,"AB,R,R",15,166,16,1,RED,AB,93,1.304561,3.559026,2,10,8,0.355556,0.504348,22.75,-1
3,"AB,R,R",16,167,17,1,RED,AB,105,1.776411,3.559026,2,10,8,0.355556,0.39548,6.0,-1
3,"AB,R,R",17,168,18,1,RED,AB,67,0.806356,3.559026,2,10,8,0.355556,0.397933,5.529412,-1
3,"AB,R,R",18,169,19,1,RED,AB,77,1.004415,3.399346,2,10,8,0.333333,0.438596,7.818182,-1
3,"AB,R,R",19,170,20,1,RED,AB,59,1.011932,3.771236,2,10,8,0.380952,0.454277,8.0,-1
3,"AB,R,R",20,171,21,1,RED,AB,100,1.320833,3.299832,3,10,7,0.291667,0.466667,8.636364,-1
3,"AB,R,R",21,172,22,1,RED,AB,91,1.50101,3.771236,2,10,8,0.380952,0.460177,8.8,-1
3,"AB,R,R",22,173,23,1,RED,AB,80,1.151262,3.559026,2,10,8,0.355556,0.348718,5.0,-1
3,"AB,R,R",23,174,24,1,RED,AB,93,0.727773,3.771236,2,10,8,0.380952,0.54902,15.0,-1
3,"AB,R,R",24,175,25,1,RED,AB,80,1.606155,3.399346,2,10,8,0.333333,0.352941,6.142857,-1
3,"AB,R,R",25,176,26,1,RED,AB,98,2.121514,3.559026,2,10,8,0.355556,0.345912,4.666667,-1
3,"AB,R,R",26,177,27,1,RED,AB,117,2.123608,3.771236,2,10,8,0.380952,0.401235,5.642857,-1
3,"AB,R,R",27,178,28,1,RED,AB,145,1.320329,3.299832,2,10,8,0.280702,0.343284,5.928571,-1
