lambda,selfish_agent,game_idx,seed,vp_gini,vp_min,vp_max,vp_range,winner_agent,num_turns
0.888889,WR,1,2,0.380952,2,10,8,R,155
0.888889,WR,2,3,0.352941,2,11,9,WR,519
0.888889,WR,3,4,0.222222,4,10,6,WR,303
0.888889,WR,4,5,0.245614,3,10,7,R,401
1.111111,GREEDY,0,1,0.051282,8,10,2,CONVEX,154
1.111111,GREEDY,1,2,0.27451,3,10,7,R,179
1.111111,GREEDY,2,3,0.138889,5,10,5,GREEDY,924
1.111111,GREEDY,3,4,0.380952,2,10,8,R,167
1.111111,GREEDY,4,5,0.222222,4,10,6,R,245
1.111111,AB,0,1,0.27451,3,10,7,R,77
1.111111,AB,1,2,0.380952,2,10,8,R,71
1.111111,AB,2,3,0.380952,2,10,8,R,71
1.111111,AB,3,4,0.380952,2,10,8,AB,81
1.111111,AB,4,5,0.296296,2,10,8,CONVEX,124
1.111111,MCTS,0,1,0.280702,2,10,8,R,209
1.111111,MCTS,1,2,0.210526,4,10,6,R,278
1.111111,MCTS,2,3,0.355556,2,10,8,R,107
1.111111,MCTS,3,4,0.333333,2,10,8,R,299
1.111111,MCTS,4,5,0.2,4,10,6,CONVEX,337
1.111111,VALUE,0,1,0.355556,2,10,8,R,68
1.111111,VALUE,1,2,0.296296,2,10,8,R,95
1.111111,VALUE,2,3,0.380952,2,10,8,R,122
1.111111,VALUE,3,4,0.355556,2,10,8,VALUE,60
1.111111,VALUE,4,5,0.259259,3,10,7,CONVEX,67
1.111111,WR,0,1,0.296296,2,10,8,R,224
1.111111,WR,1,2,0.380952,2,10,8,R,155
1.111111,WR,2,3,0.333333,2,10,8,WR,357
1.111111,WR,3,4,0.210526,4,10,6,R,299
1.111111,WR,4,5,0.380952,2,10,8,R,107
1.333333,GREEDY,0,1,0.106667,6,10,4,CONVEX,175
1.333333,GREEDY,1,2,0.121212,6,10,4,GREEDY,225
1.333333,GREEDY,2,3,0.333333,2,10,8,GREEDY,357
1.333333,GREEDY,3,4,0.380952,2,10,8,R,167
1.333333,GREEDY,4,5,0.333333,2,10,8,R,233
1.333333,AB,0,1,0.27451,3,10,7,R,77
1.333333,AB,1,2,0.380952,2,10,8,R,98
1.333333,AB,2,3,0.4,2,11,9,R,68
1.333333,AB,3,4,0.380952,2,10,8,AB,81
1.333333,AB,4,5,0.380952,2,10,8,CONVEX,61
1.333333,MCTS,0,1,0.222222,4,10,6,R,305
1.333333,MCTS,1,2,0.296296,2,10,8,R,212
1.333333,MCTS,2,3,0.190476,4,10,6,MCTS,369
1.333333,MCTS,3,4,0.173913,4,10,6,MCTS,459
1.333333,MCTS,4,5,0.212121,3,10,7,R,587
1.333333,VALUE,0,1,0.355556,2,10,8,R,68
1.333333,VALUE,1,2,0.333333,2,10,8,R,107
1.333333,VALUE,2,3,0.380952,2,10,8,R,113
1.333333,VALUE,3,4,0.355556,2,10,8,VALUE,60
1.333333,VALUE,4,5,0.380952,2,10,8,CONVEX,55
1.333333,WR,0,1,0.121212,6,10,4,R,278
1.333333,WR,1,2,0.4,2,11,9,CONVEX,127
1.333333,WR,2,3,0.333333,2,10,8,WR,366
1.333333,WR,3,4,0.190476,4,10,6,WR,291
1.333333,WR,4,5,0.380952,2,10,8,R,218
1.555556,GREEDY,0,1,0.333333,2,10,8,R,98
1.555556,GREEDY,1,2,0.27451,3,10,7,GREEDY,309
1.555556,GREEDY,2,3,0.313725,2,10,8,CONVEX,232
1.555556,GREEDY,3,4,0.190476,4,10,6,GREEDY,231
1.555556,GREEDY,4,5,0.333333,2,10,8,R,173
1.555556,AB,0,1,0.333333,2,10,8,R,56
1.555556,AB,1,2,0.291667,3,10,7,R,110
1.555556,AB,2,3,0.380952,2,10,8,R,62
1.555556,AB,3,4,0.333333,2,10,8,AB,96
1.555556,AB,4,5,0.380952,2,10,8,CONVEX,61
1.555556,MCTS,0,1,0.280702,2,10,8,CONVEX,106
1.555556,MCTS,1,2,0.245614,3,10,7,R,254
1.555556,MCTS,2,3,0.212121,3,10,7,CONVEX,178
1.555556,MCTS,3,4,0.222222,4,10,6,R,437
1.555556,MCTS,4,5,0.212121,3,10,7,R,587
1.555556,VALUE,0,1,0.291667,3,10,7,R,101
1.555556,VALUE,1,2,0.355556,2,10,8,R,101
1.555556,VALUE,2,3,0.313725,2,10,8,R,101
1.555556,VALUE,3,4,0.333333,2,10,8,VALUE,78
1.555556,VALUE,4,5,0.333333,2,10,8,CONVEX,67
1.555556,WR,0,1,0.27451,3,10,7,CONVEX,133
1.555556,WR,1,2,0.355556,2,10,8,CONVEX,85
1.555556,WR,2,3,0.181818,4,10,6,WR,981
1.555556,WR,3,4,0.190476,4,10,6,WR,237
1.555556,WR,4,5,0.380952,2,10,8,R,191
1.777778,GREEDY,0,1,0.333333,2,10,8,R,98
1.777778,GREEDY,1,2,0.253968,2,10,8,GREEDY,237
1.777778,GREEDY,2,3,0.380952,2,10,8,GREEDY,789
1.777778,GREEDY,3,4,0.333333,2,10,8,GREEDY,105
1.777778,GREEDY,4,5,0.333333,2,10,8,R,173
1.777778,AB,0,1,0.333333,2,10,8,R,56
1.777778,AB,1,2,0.333333,2,10,8,R,92
1.777778,AB,2,3,0.380952,2,10,8,R,71
1.777778,AB,3,4,0.355556,2,10,8,AB,111
1.777778,AB,4,5,0.380952,2,10,8,CONVEX,61
1.777778,MCTS,0,1,0.210526,4,10,6,CONVEX,226
1.777778,MCTS,1,2,0.333333,2,10,8,R,194
1.777778,MCTS,2,3,0.231884,3,11,8,CONVEX,109
